Film,Ceremony,Award,Year
The Substance,Critics Choice Awards,Nominee: Best Supporting Actress,2025
The Substance,Critics Choice Awards,Winner: Best Original Screenplay,2025
The Substance,Mumbai Film Festival,Official Selection,2024
The Substance,Festival international du film indépendant de Bordeaux,Official Selection,2024
The Substance,New Horizons International Film Festival,Official Selection,2024
The Substance,Riga International Film Festival,Official Selection,2024
The Substance,Rome Film Festival,Official Selection,2024
The Substance,Frightfest,Official Selection,2024
The Substance,Capri Hollywood International Film Festival,Official Selection,2024
The Substance,New Zealand International Film Festival,Official Selection,2024
The Substance,El Gouna Film Festival,Official Selection,2024
The Substance,Golden Globes (USA),Winner: Best Actress (Musical or Comedy),2025
I'm Still Here,Venice Film Festival,Winner: Award for Best Screenplay,2024
I'm Still Here,Venice Film Festival,Winner: Green Drop Award,2024
I'm Still Here,Venice Film Festival,Winner: SIGNIS Award,2024
I'm Still Here,Academy Awards,Nominee: Best Actress in a Leading Role,2025
I'm Still Here,Academy Awards,Nominee: Best International Feature Film,2025
I'm Still Here,Academy Awards,Nominee: Best Picture,2025
I'm Still Here,Toronto International Film Festival,Official Selection,2024
I'm Still Here,International Film Festival Rotterdam,Official Selection,2025
I'm Still Here,San Sebastián International Film Festival,Official Selection,2024
I'm Still Here,Indiewire Critics' Poll,Nominee: Best Performance,2024
I'm Still Here,São Paulo International Film Festival,Official Selection,2024
I'm Still Here,BFI London Film Festival,Official Selection,2024
I'm Still Here,National Board of Review,Winner: Top 5 International Films,2024
I'm Still Here,BAFTA Awards,Nominee: Best Film Not in the English Language,2025
I'm Still Here,New York Film Festival,Official Selection,2024
I'm Still Here,Golden Globes (USA),Winner: Best Performance by a Female Actor in a Motion Picture – Drama,2025
I'm Still Here,Golden Globes (USA),Nominee: Best Motion Picture – Non-English Language,2025
I'm Still Here,Los Angeles Film Critics Association Awards,3rd place: Best Lead Performance,2024
I'm Still Here,AFI Fest,Official Selection,2024
I'm Still Here,Vancouver International Film Festival,Winner: Audience Award (Galas & Special Presentations),2024
I'm Still Here,Chicago International Film Festival,Official Selection,2024
I'm Still Here,San Francisco Bay Area Film Critics Circle,Nominee: Best International Feature Film,2025
I'm Still Here,London Critics Circle Film Awards,Nominee: Foreign Language Film of the Year,2025
I'm Still Here,Austin Film Critics Association,Nominee: Best International Film,2025
I'm Still Here,Tallinn Black Nights Film Festival,Official Selection,2024
I'm Still Here,Goya Awards,Winner: Best Ibero-American Film,2025
I'm Still Here,Hawaii International Film Festival,Official Selection,2024
I'm Still Here,Philadelphia Film Festival,Official Selection,2024
I'm Still Here,Zurich Film Festival,Official Selection,2024
I'm Still Here,Athens International Film Festival,Official Selection,2024
I'm Still Here,Viennale,Official Selection,2024
I'm Still Here,Palm Springs International Film Festival,Winner: FIPRESCI Prize for Best International Feature Film,2025
I'm Still Here,Cairo International Film Festival,Official Selection,2024
I'm Still Here,Women Film Critics Circle Awards,Nominee: Best Foreign Film by or About Women,2024
I'm Still Here,Critics Choice Awards,Nominee: Best Foreign Language Film,2025
I'm Still Here,Marrakesh International Film Festival,Official Selection,2024
I'm Still Here,International Film Festival of Kerala,Official Selection,2024
I'm Still Here,Austin Film Festival,Official Selection,2024
I'm Still Here,Haifa International Film Festival,Official Selection,2024
I'm Still Here,Biarritz Amerique Latine Festival,Official Selection,2024
I'm Still Here,Montclair Film Festival,Official Selection,2024
I'm Still Here,Leeds International Film Festival,Official Selection,2024
Flow,Cannes Film Festival,Official Selection: Un Certain Regard,2024
Flow,Academy Awards,Nominee: Best Animated Feature,2025
Flow,Academy Awards,Nominee: Best International Feature Film,2025
Flow,Independent Spirit Awards,Nominee: Best International Film,2025
Flow,Toronto International Film Festival,Official Selection,2024
Flow,Indiewire Critics' Poll,Nominee: Best International Film,2024
Flow,BFI London Film Festival,Official Selection,2024
Flow,National Board of Review,Winner: Best Animated Feature,2024
Flow,Mar del Plata International Film Festival,Official Selection,2024
Flow,BAFTA Awards,Nominee: Best Animated Feature Film,2025
Flow,BAFTA Awards,Nominee: Best Children's & Family Film,2025
Flow,Golden Globes (USA),Winner: Best Motion Picture - Animated,2025
Flow,New York Film Critics Circle Awards,Winner: Best Animated Film,2024
Flow,Los Angeles Film Critics Association Awards,Winner: Best Animation,2024
Flow,European Film Awards,Winner: European Animated Feature Film,2024
Flow,European Film Awards,Nominee: Lux European Audience Film Award,2024
Flow,Vancouver International Film Festival,Official Selection,2024
Flow,Chicago International Film Festival,Official Selection,2024
Flow,San Francisco Bay Area Film Critics Circle,Winner: Best Animated Feature,2025
Flow,London Critics Circle Film Awards,Nominee: Animated Film of the Year,2025
Flow,Festival du Nouveau Cinéma,Winner: International Panorama Audience Award,2024
Flow,Toronto Film Critics Association Awards,Winner: Best Animated Feature,2024
Flow,Chicago Film Critics Association Awards,Winner: Best Animated Feature,2024
Flow,Boston Society of Film Critics Awards,Winner: Best Animated Film,2024
Flow,Ghent Film Festival,Official Selection,2024
Flow,New York Film Critics,Winner: Best Animated Film,2024
Flow,Austin Film Critics Association,Nominee: Best International Film,2025
Flow,Austin Film Critics Association,Nominee: Best Animated Film,2025
Flow,Tokyo International Film Festival,Official Selection,2024
Flow,Melbourne International Film Festival,Winner: Bright Horizons Special Jury Award,2024
Flow,Busan International Film Festival,Official Selection,2024
Flow,Tallinn Black Nights Film Festival,Official Selection,2024
Flow,Goya Awards,Nominee: Best European Film,2025
Flow,Jerusalem Film Festival,Official Selection,2024
Flow,Hawaii International Film Festival,Official Selection,2024
Flow,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
Flow,Belfast Film Festival,Official Selection,2024
Flow,Lumiere Awards,Winner: Best Animated Film,2025
Flow,Zurich Film Festival,Official Selection,2024
Flow,Athens International Film Festival,Winner: Fischer Audience Award,2024
Flow,Athens International Film Festival,Winner: Golden Athena Award for Best Film,2024
Flow,Seattle Film Critics Awards,Nominee: Best Animated Feature,2025
Flow,Seattle Film Critics Awards,Nominee: Best International Film,2025
Flow,Sarajevo Film Festival,Official Selection,2024
Flow,Bergen International Film Festival,Official Selection,2024
Flow,Tromsø International Film Festival,Official Selection,2025
Flow,Palm Springs International Film Festival,Official Selection,2025
Flow,Norwegian International Film Festival,Official Selection,2024
Flow,Shanghai International Film Festival,Official Selection,2024
Flow,Calgary International Film Festival,Official Selection,2024
Flow,FIDMarseille,Official Selection,2024
Flow,Critics Choice Awards,Nominee: Best Animated Feature,2025
Flow,Critics Choice Awards,Nominee: Best Foreign Language Film,2025
Flow,Guadalajara International Film Festival,Winner: Best International Animated Feature Film,2024
Flow,Annecy International Animation Festival,Winner: Gan Foundation Award for Distribution,2024
Flow,Annecy International Animation Festival,Winner: Audience Award,2024
Flow,Annecy International Animation Festival,Winner: Best Original Music Award for a Feature Film,2024
Flow,Annecy International Animation Festival,Winner: Jury Award Feature Film,2024
Flow,Marrakesh International Film Festival,Official Selection,2024
Flow,Festival international du film indépendant de Bordeaux,Official Selection,2024
Flow,Lübeck Nordic Film Days,Official Selection,2024
Flow,Indie Memphis,Official Selection,2024
Flow,New Zealand International Film Festival,Official Selection,2024
Flow,Montclair Film Festival,Official Selection,2024
Flow,Alice nella Città,Official Selection,2024
Flow,Cottbus Festival of East European Cinema,Official Selection,2024
Flow,Cinefest Sudbury International Film Festival,Official Selection,2024
Flow,Ottawa International Animation Festival,Official Selection,2024
Flow,Hamptons International Film Festival,Official Selection,2024
Flow,Tirana International Film Festival,Official Selection,2024
Flow,Leiden International Film Festival,Official Selection,2024
Flow,Leeds International Film Festival,Official Selection,2024
Flow,Adelaide Film Festival,Official Selection,2024
Flow,El Gouna Film Festival,Official Selection,2024
Inside Out 2,Academy Awards,Nominee: Best Animated Feature,2025
Inside Out 2,BAFTA Awards,Nominee: Best Animated Feature Film,2025
Inside Out 2,Golden Globes (USA),Nominee: Best Motion Picture - Animated,2025
Inside Out 2,Golden Globes (USA),Nominee: Cinematic and Box Office Achievement,2025
Inside Out 2,San Francisco Bay Area Film Critics Circle,Nominee: Best Animated Feature,2025
Inside Out 2,London Critics Circle Film Awards,Nominee: Animated Film of the Year,2025
Inside Out 2,Chicago Film Critics Association Awards,Nominee: Best Animated Feature,2024
Inside Out 2,Austin Film Critics Association,Nominee: Best Animated Film,2025
Inside Out 2,Austin Film Critics Association,Nominee: Best Voice Acting/Animated/Digital Performance,2025
Inside Out 2,Seattle Film Critics Awards,Nominee: Best Animated Feature,2025
Inside Out 2,Women Film Critics Circle Awards,Nominee: Best Animated Female,2024
Inside Out 2,Critics Choice Awards,Nominee: Best Animated Feature,2025
Inside Out 2,Black Reel Awards,Nominee: Outstanding Voice Performance,2025
Memoir of a Snail,Academy Awards,Nominee: Best Animated Feature,2025
Memoir of a Snail,Toronto International Film Festival,Official Selection,2024
Memoir of a Snail,International Film Festival Rotterdam,Official Selection,2025
Memoir of a Snail,San Sebastián International Film Festival,Official Selection,2024
Memoir of a Snail,Telluride Film Festival,Official Selection,2024
Memoir of a Snail,São Paulo International Film Festival,Official Selection,2024
Memoir of a Snail,BFI London Film Festival,Winner: Best Film Award,2024
Memoir of a Snail,Golden Globes (USA),Nominee: Best Motion Picture - Animated,2025
Memoir of a Snail,Chicago International Film Festival,Official Selection,2024
Memoir of a Snail,San Francisco Bay Area Film Critics Circle,Nominee: Best Animated Feature,2025
Memoir of a Snail,London Critics Circle Film Awards,Nominee: Animated Film of the Year,2025
Memoir of a Snail,Göteborg Film Festival,Official Selection,2025
Memoir of a Snail,Toronto Film Critics Association Awards,Nominee: Best Animated Feature,2024
Memoir of a Snail,Chicago Film Critics Association Awards,Nominee: Best Animated Feature,2024
Memoir of a Snail,Ghent Film Festival,Official Selection,2024
Memoir of a Snail,Austin Film Critics Association,Nominee: Best Animated Film,2025
Memoir of a Snail,Austin Film Critics Association,Nominee: Best Voice Acting/Animated/Digital Performance,2025
Memoir of a Snail,Asia Pacific Screen Awards,Nominee: Best Animated Film,2024
Memoir of a Snail,Tokyo International Film Festival,Official Selection,2024
Memoir of a Snail,Melbourne International Film Festival,Official Selection,2024
Memoir of a Snail,Hawaii International Film Festival,Official Selection,2024
Memoir of a Snail,Thessaloniki Film Festival,Official Selection,2024
Memoir of a Snail,Philadelphia Film Festival,Official Selection,2024
Memoir of a Snail,Zurich Film Festival,Official Selection,2024
Memoir of a Snail,Tromsø International Film Festival,Official Selection,2025
Memoir of a Snail,Sitges - Catalonian International Film Festival,Winner: Best Animated Feature Film,2024
Memoir of a Snail,Cairo International Film Festival,Official Selection,2024
Memoir of a Snail,Women Film Critics Circle Awards,Winner: Best Animated Female,2024
Memoir of a Snail,Calgary International Film Festival,Official Selection,2024
Memoir of a Snail,Critics Choice Awards,Nominee: Best Animated Feature,2025
Memoir of a Snail,Annecy International Animation Festival,Winner: Cristal for a Feature Film,2024
Memoir of a Snail,Haifa International Film Festival,Official Selection,2024
Memoir of a Snail,Indie Memphis,Official Selection,2024
Memoir of a Snail,Ayvalık International Film Festival,Official Selection,2024
Memoir of a Snail,Montclair Film Festival,Official Selection,2024
Memoir of a Snail,Ottawa International Animation Festival,Official Selection,2024
Wallace & Gromit: Vengeance Most Fowl,Academy Awards,Nominee: Best Animated Feature,2025
Wallace & Gromit: Vengeance Most Fowl,BAFTA Awards,Nominee: Outstanding British Film of the Year,2025
Wallace & Gromit: Vengeance Most Fowl,BAFTA Awards,Nominee: Best Animated Feature Film,2025
Wallace & Gromit: Vengeance Most Fowl,BAFTA Awards,Nominee: Best Children's & Family Film,2025
Wallace & Gromit: Vengeance Most Fowl,Golden Globes (USA),Nominee: Best Motion Picture - Animated,2025
Wallace & Gromit: Vengeance Most Fowl,San Francisco Bay Area Film Critics Circle,Nominee: Best Animated Feature,2025
Wallace & Gromit: Vengeance Most Fowl,London Critics Circle Film Awards,Winner: Animated Film of the Year,2025
Wallace & Gromit: Vengeance Most Fowl,Chicago Film Critics Association Awards,Nominee: Best Animated Feature,2024
Wallace & Gromit: Vengeance Most Fowl,New York Film Critics,Nominee: Best Animated Film,2024
Wallace & Gromit: Vengeance Most Fowl,Austin Film Critics Association,Nominee: Best Animated Film,2025
Wallace & Gromit: Vengeance Most Fowl,Seattle Film Critics Awards,Nominee: Best Animated Feature,2025
Wallace & Gromit: Vengeance Most Fowl,Critics Choice Awards,Nominee: Best Animated Feature,2025
Wallace & Gromit: Vengeance Most Fowl,Capri Hollywood International Film Festival,Winner: Best Animated Feature,2024
The Wild Robot,Academy Awards,Nominee: Best Animated Feature,2025
The Wild Robot,Academy Awards,Nominee: Best Original Score,2025
The Wild Robot,Academy Awards,Nominee: Best Sound,2025
The Wild Robot,San Sebastián International Film Festival,Winner: Lurra - Greenpeace Award,2024
The Wild Robot,BAFTA Awards,Nominee: Best Animated Feature Film,2025
The Wild Robot,BAFTA Awards,Nominee: Best Children's & Family Film,2025
The Wild Robot,BAFTA Awards,Nominee: Original Score,2025
The Wild Robot,Golden Globes (USA),Nominee: Cinematic and Box Office Achievement,2025
The Wild Robot,Golden Globes (USA),Nominee: Best Motion Picture - Animated,2025
The Wild Robot,Golden Globes (USA),Nominee: Best Original Score - Motion Picture,2025
The Wild Robot,Golden Globes (USA),Nominee: Best Original Song - Motion Picture,2025
The Wild Robot,San Francisco Bay Area Film Critics Circle,Nominee: Best Animated Feature,2025
The Wild Robot,San Francisco Bay Area Film Critics Circle,Nominee: Best Original Score,2025
The Wild Robot,London Critics Circle Film Awards,Nominee: Animated Film of the Year,2025
The Wild Robot,Toronto Film Critics Association Awards,Nominee: Best Animated Feature,2024
The Wild Robot,Chicago Film Critics Association Awards,Nominee: Best Animated Feature,2024
The Wild Robot,Chicago Film Critics Association Awards,Nominee: Best Original Score,2024
The Wild Robot,New York Film Critics,2nd place: Best Animated Film,2024
The Wild Robot,Austin Film Critics Association,Nominee: Best Original Score,2025
The Wild Robot,Austin Film Critics Association,Winner: Best Animated Film,2025
The Wild Robot,Austin Film Critics Association,Winner: Best Voice Acting/Animated/Digital Performance,2025
The Wild Robot,Seattle Film Critics Awards,Nominee: Best Original Score,2025
The Wild Robot,Seattle Film Critics Awards,Winner: Best Animated Feature,2025
The Wild Robot,Women Film Critics Circle Awards,Winner: Best Animated Female,2024
The Wild Robot,Critics Choice Awards,Winner: Best Animated Feature,2025
The Wild Robot,Critics Choice Awards,Nominee: Best Score,2025
The Wild Robot,Critics Choice Awards,Nominee: Best Song,2025
The Wild Robot,Black Reel Awards,Nominee: Outstanding Voice Performance,2025
The Wild Robot,Black Reel Awards,Nominee: Outstanding Score,2025
The Wild Robot,Black Reel Awards,Nominee: Outstanding Original Soundtrack,2025
The Wild Robot,Heartland International Film Festival,Winner: Truly Moving Picture Award,2024
The Wild Robot,SCAD Savannah Film Festival,Winner: Audience Award,2024
The Wild Robot,Ottawa International Animation Festival,Official Selection: World Premiere,2024
Beautiful Men,Academy Awards,Nominee: Best Animated Short,2025
Beautiful Men,International Film Festival Rotterdam,Official Selection,2024
Beautiful Men,SXSW Film Festival,Official Selection,2024
Beautiful Men,Telluride Film Festival,Official Selection,2024
Beautiful Men,Ghent Film Festival,Special Mention: Award for Best International Short,2023
Beautiful Men,Santa Barbara International Film Festival,Official Selection,2025
Beautiful Men,Hong Kong International Film Festival,Official Selection,2024
Beautiful Men,Sarajevo Film Festival,Official Selection,2024
Beautiful Men,Palm Springs International Film Festival,Official Selection,2025
Beautiful Men,Calgary International Film Festival,Official Selection,2024
Beautiful Men,Guadalajara International Film Festival,Official Selection,2024
Beautiful Men,Annecy International Animation Festival,Winner: Alexeïeff – Parker Award,2024
Beautiful Men,Annecy International Animation Festival,Winner: Festivals Connexion Award,2024
Beautiful Men,Guanajuato International Film Festival,Official Selection,2024
Beautiful Men,Palm Springs International ShortFest,Official Selection,2024
Beautiful Men,Clermont-Ferrand International Short Film Festival,Official Selection,2024
Beautiful Men,Curtas Vila do Conde International Film Festival,Official Selection,2024
Beautiful Men,Vilnius International Film Festival (Kino Pavasaris),Official Selection,2024
Beautiful Men,Ottawa International Animation Festival,Official Selection,2024
Beautiful Men,Hollyshorts Film Festival,Official Selection,2024
Beautiful Men,Uppsala Short Film Festival,Official Selection,2024
In the Shadow of the Cypress,Venice Film Festival,Official Selection,2023
In the Shadow of the Cypress,Academy Awards,Nominee: Best Animated Short,2025
In the Shadow of the Cypress,Tribeca Film Festival,Winner: Best Animated Short,2024
In the Shadow of the Cypress,Melbourne International Film Festival,Official Selection,2024
In the Shadow of the Cypress,Santa Barbara International Film Festival,Official Selection,2024
In the Shadow of the Cypress,Calgary International Film Festival,Official Selection,2024
In the Shadow of the Cypress,Guadalajara International Film Festival,Official Selection,2024
In the Shadow of the Cypress,Annecy International Animation Festival,Official Selection,2024
In the Shadow of the Cypress,Clermont-Ferrand International Short Film Festival,Official Selection,2024
In the Shadow of the Cypress,Hollyshorts Film Festival,Official Selection,2024
In the Shadow of the Cypress,RiverRun International Film Festival,Official Selection,2024
Magic Candies,Academy Awards,Nominee: Best Animated Short,2025
Magic Candies,BFI London Film Festival,Official Selection,2024
Magic Candies,AFI Fest,Official Selection,2024
Magic Candies,Vancouver International Film Festival,Official Selection,2024
Magic Candies,Seattle International Film Festival,Official Selection,2024
Magic Candies,Busan International Film Festival,Official Selection,2024
Magic Candies,Tallinn Black Nights Film Festival,Official Selection,2024
Magic Candies,Sitges - Catalonian International Film Festival,Official Selection,2024
Magic Candies,Hollyshorts Film Festival,Official Selection,2024
Wander to Wonder,Venice Film Festival,Official Selection,2023
Wander to Wonder,Academy Awards,Nominee: Best Animated Short,2025
Wander to Wonder,International Film Festival Rotterdam,Official Selection,2024
Wander to Wonder,SXSW Film Festival,Winner: Animated Shorts Competition,2024
Wander to Wonder,BAFTA Awards,Nominee: Best British Short Animation,2025
Wander to Wonder,Buenos Aires International Festival of Independent Cinema,Winner: Grand Prize Avant-Garde & Genre Competition,2024
Wander to Wonder,European Film Awards,Nominee: European Short Film,2024
Wander to Wonder,Chicago International Film Festival,Winner: Silver Hugo (Animated Short Film Competition),2024
Wander to Wonder,London Critics Circle Film Awards,Winner: British/Irish Short Film of the Year,2025
Wander to Wonder,British Independent Film Awards,Winner: Best British Short,2024
Wander to Wonder,Santa Barbara International Film Festival,Official Selection,2024
Wander to Wonder,Tallinn Black Nights Film Festival,Official Selection,2024
Wander to Wonder,Valladolid International Film Festival,Winner: Golden Spike Short Film,2023
Wander to Wonder,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
Wander to Wonder,Hong Kong International Film Festival,Official Selection,2024
Wander to Wonder,Palm Springs International Film Festival,Official Selection,2025
Wander to Wonder,Guadalajara International Film Festival,Official Selection,2024
Wander to Wonder,Palm Springs International ShortFest,Special Mention: Best Animated Short,2024
Wander to Wonder,Palm Springs International ShortFest,Winner: Best Midnight Short,2024
Wander to Wonder,Krakow Film Festival,Official Selection,2024
Wander to Wonder,Leiden Shorts,Official Selection,2024
Wander to Wonder,Festival Internacional de Curtas Metragens de São Paulo,Winner: Troféu “Kaiser”- Destaque ABCA para Melhor Animação,2024
Wander to Wonder,Clermont-Ferrand International Short Film Festival,Official Selection,2024
Wander to Wonder,Curtas Vila do Conde International Film Festival,Official Selection,2024
Wander to Wonder,Vilnius International Film Festival (Kino Pavasaris),Official Selection,2024
Wander to Wonder,Ottawa International Animation Festival,Official Selection,2024
Wander to Wonder,Hollyshorts Film Festival,Official Selection,2024
Wander to Wonder,Fantaspoa International Fantastic Film Festival,Official Selection,2024
Wander to Wonder,OFF - Odense International Film Festival,Official Selection,2024
Wander to Wonder,RiverRun International Film Festival,Official Selection,2024
Wander to Wonder,Pittsburg Shorts,Official Selection,2024
Wander to Wonder,Internationale Kurzfilmtage Winterthur,Official Selection,2023
Wander to Wonder,Leeds International Film Festival,Official Selection,2024
Wander to Wonder,St. Louis International Film Festival,Official Selection,2024
Wander to Wonder,Nashville Film Festival,Official Selection,2024
Wander to Wonder,Nederlands Film Festival,Official Selection,2024
Wander to Wonder,Tampere Film Festival,Official Selection,2024
Yuck!,Berlin International Film Festival,Official Selection,2024
Yuck!,Academy Awards,Nominee: Best Animated Short,2025
Yuck!,International Film Festival Rotterdam,Official Selection,2025
Yuck!,BFI London Film Festival,Official Selection,2024
Yuck!,San Francisco International Film Festival,Official Selection,2024
Yuck!,Chicago International Film Festival,Official Selection,2024
Yuck!,Festival du Nouveau Cinéma,Official Selection,2024
Yuck!,Tallinn Black Nights Film Festival,Official Selection,2024
Yuck!,Valladolid International Film Festival,Official Selection,2024
Yuck!,Munich Film Festival,Official Selection,2024
Yuck!,Cartagena Film Festival,Official Selection,2024
Yuck!,Miami International Film Festival,3rd place: Short Film Audience Award,2024
Yuck!,Warsaw International Film Festival,Official Selection,2024
Yuck!,Annecy International Animation Festival,Official Selection,2024
Yuck!,Austin Film Festival,Official Selection,2024
Yuck!,Curtas Vila do Conde International Film Festival,Official Selection,2024
Yuck!,Kurzfilm Festival Hamburg,Official Selection,2024
Yuck!,Ottawa International Animation Festival,Official Selection,2024
Yuck!,Hollyshorts Film Festival,Official Selection,2024
Yuck!,Uppsala Short Film Festival,Official Selection,2024
Yuck!,Tirana International Film Festival,Official Selection,2024
Yuck!,Off-Courts Trouville,Official Selection,2024
Dune: Part Two,Academy Awards,Nominee: Best Picture,2025
Dune: Part Two,Academy Awards,Nominee: Best Cinematography,2025
Dune: Part Two,Academy Awards,Nominee: Best Production Design,2025
Dune: Part Two,Academy Awards,Nominee: Best Sound,2025
Dune: Part Two,Academy Awards,Nominee: Best Visual Effects,2025
Dune: Part Two,Indiewire Critics' Poll,Nominee: Best Film,2024
Dune: Part Two,Indiewire Critics' Poll,Nominee: Best Cinematography,2024
Dune: Part Two,American Film Institute Awards,Winner: Movie of the Year,2024
Dune: Part Two,BAFTA Awards,Nominee: Best Achievement in Special Visual Effects,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Production Design,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Make Up & Hair,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Editing,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Director,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Cinematography,2025
Dune: Part Two,BAFTA Awards,Nominee: Best Sound,2025
Dune: Part Two,Golden Globes (USA),Nominee: Best Motion Picture - Drama,2025
Dune: Part Two,Golden Globes (USA),Nominee: Best Original Score - Motion Picture,2025
Dune: Part Two,San Francisco Bay Area Film Critics Circle,Nominee: Best Production Design,2025
Dune: Part Two,San Francisco Bay Area Film Critics Circle,Nominee: Best Adapted Screenplay,2025
Dune: Part Two,San Francisco Bay Area Film Critics Circle,Nominee: Best Cinematography,2025
Dune: Part Two,London Critics Circle Film Awards,Nominee: Director of the Year,2025
Dune: Part Two,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Visual Effects,2025
Dune: Part Two,Toronto Film Critics Association Awards,Nominee: Best Adapted Screenplay,2024
Dune: Part Two,Chicago Film Critics Association Awards,Nominee: Best Costume Design,2024
Dune: Part Two,Chicago Film Critics Association Awards,Nominee: Best Original Score,2024
Dune: Part Two,Chicago Film Critics Association Awards,Nominee: Best Use of Visual Effects,2024
Dune: Part Two,Chicago Film Critics Association Awards,Nominee: Best Art Direction/Production Design,2024
Dune: Part Two,Chicago Film Critics Association Awards,Nominee: Best Cinematography,2024
Dune: Part Two,Austin Film Critics Association,Nominee: Best Cinematography,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Editing,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Director,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Original Score,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Picture,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Stunt Work,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Ensemble,2025
Dune: Part Two,Austin Film Critics Association,Winner: [7] AFCA Top 10 Films,2025
Dune: Part Two,Austin Film Critics Association,Nominee: Best Adapted Screenplay,2025
Dune: Part Two,Fribourg International Film Festival,Official Selection,2024
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Villain,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Cinematography,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Ensemble Cast,2025
Dune: Part Two,Seattle Film Critics Awards,Winner: Best Visual Effects,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Costume Design,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Editing,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Ensemble,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Director,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Production Design,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Action Choreography,2025
Dune: Part Two,Seattle Film Critics Awards,Nominee: Best Picture,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Editing,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Costume Design,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Picture,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Production Design,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Director,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Score,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Adapted Screenplay,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Hair and Make-Up,2025
Dune: Part Two,Critics Choice Awards,Nominee: Best Cinematography,2025
Dune: Part Two,Critics Choice Awards,Winner: Best Visual Effects,2025
Dune: Part Two,Capri Hollywood International Film Festival,Winner: Best Editing,2024
Dune: Part Two,Capri Hollywood International Film Festival,Winner: Best Visual Effects,2024
Maria,Venice Film Festival,Official Selection,2024
Maria,Academy Awards,Nominee: Best Cinematography,2025
Maria,International Film Festival Rotterdam,Official Selection,2025
Maria,Telluride Film Festival,Official Selection,2024
Maria,São Paulo International Film Festival,Official Selection,2024
Maria,BFI London Film Festival,Official Selection,2024
Maria,New York Film Festival,Official Selection,2024
Maria,Golden Globes (USA),Nominee: Best Performance by a Female Actor in a Motion Picture – Drama,2025
Maria,AFI Fest,Official Selection,2024
Maria,Chicago International Film Festival,Official Selection,2024
Maria,Stockholm International Film Festival,Official Selection,2024
Maria,San Francisco Bay Area Film Critics Circle,Nominee: Best Actress,2025
Maria,Chicago Film Critics Association Awards,Nominee: Best Costume Design,2024
Maria,Ghent Film Festival,Official Selection,2024
Maria,Tallinn Black Nights Film Festival,Official Selection,2024
Maria,Thessaloniki Film Festival,Official Selection,2024
Maria,Philadelphia Film Festival,Official Selection,2024
Maria,Palm Springs International Film Festival,Official Selection,2025
Maria,Critics Choice Awards,Nominee: Best Actress,2025
Maria,Critics Choice Awards,Nominee: Best Costume Design,2025
Maria,Capri Hollywood International Film Festival,Winner: Best Costume Design,2024
Maria,Red Sea International Film Festival,Official Selection,2024
Nosferatu,Academy Awards,Nominee: Best Cinematography,2025
Nosferatu,Academy Awards,Nominee: Best Production Design,2025
Nosferatu,Academy Awards,Nominee: Best Costume Design,2025
Nosferatu,Academy Awards,Nominee: Best Makeup and Hairstyling,2025
Nosferatu,Indiewire Critics' Poll,3rd place: Best Cinematography,2024
Nosferatu,National Board of Review,Winner: Outstanding Achievement in Cinematography,2024
Nosferatu,BAFTA Awards,Nominee: Best Cinematography,2025
Nosferatu,BAFTA Awards,Nominee: Original Score,2025
Nosferatu,BAFTA Awards,Nominee: Best Production Design,2025
Nosferatu,BAFTA Awards,Nominee: Best Make Up & Hair,2025
Nosferatu,BAFTA Awards,Nominee: Best Costume Design,2025
Nosferatu,San Francisco Bay Area Film Critics Circle,2nd place: Best Cinematography,2025
Nosferatu,San Francisco Bay Area Film Critics Circle,2nd place: Best Production Design,2025
Nosferatu,London Critics Circle Film Awards,Nominee: Technical Achievement Award - Cinematography,2025
